Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Helicobacter gastrocanis,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter gastrocanis
Rickettsiella endosymbiont of Litargus connexus,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Rickettsiella,Rickettsiella endosymbiont of Litargus connexus
Candidatus Tisiphia endosymbiont of Xenochironomus xenolabis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Xenochironomus xenolabis
Candidatus Tisiphia endosymbiont of Piscicola geometra,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Piscicola geometra
Candidatus Tisiphia endosymbiont of Myopa tessellatipennis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Myopa tessellatipennis
Spiroplasma endosymbiont of Thecophora atra,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Thecophora atra
Spiroplasma endosymbiont of Lasioglossum villosulum,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Lasioglossum villosulum
Rickettsia endosymbiont of Lasioglossum villosulum,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia endosymbiont of Lasioglossum villosulum
Helicobacter gastrofelis,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter gastrofelis
Fructilactobacillus vespulae,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus,Fructilactobacillus vespulae
Campylobacter novaezeelandiae,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter novaezeelandiae
Spiroplasma endosymbiont of Virgichneumon dumeticola,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Virgichneumon dumeticola
Wolbachia endosymbiont of Ctenocephalides felis wCfeT,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Ctenocephalides felis wCfeT
Candidatus Tisiphia endosymbiont of Dascillus cervinus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Dascillus cervinus
Spiroplasma endosymbiont of Tricholauxania praeusta,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Tricholauxania praeusta
Spiroplasma endosymbiont of Nebria brevicollis,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Nebria brevicollis
Spiroplasma endosymbiont of Acasis viretata,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Acasis viretata
Rickettsia endosymbiont of Seladonia tumulorum,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia endosymbiont of Seladonia tumulorum
Candidatus Tisiphia endosymbiont of Nemotelus nigrinus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Nemotelus nigrinus
Candidatus Tisiphia endosymbiont of Dioctria rufipes,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Dioctria rufipes
Candidatus Mesenet endosymbiont of Agriotes lineatus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Candidatus,Candidatus Mesenet endosymbiont of Agriotes lineatus
Candidatus Tisiphia endosymbiont of Dioctria linearis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Dioctria linearis
Candidatus Phycorickettsia trachydisci,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Phycorickettsia trachydisci
Rickettsia endosymbiont of Cantharis rufa,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia endosymbiont of Cantharis rufa
Campylobacter bilis,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter bilis
Candidatus Tisiphia endosymbiont of Sialis lutaria,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Sialis lutaria
Candidatus Tisiphia endosymbiont of Ptychoptera albimana,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Ptychoptera albimana
Wolbachia endosymbiont of Carposina sasakii,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Carposina sasakii
Candidatus Bandiella numerosa,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Candidatus,Candidatus,Candidatus Bandiella numerosa
Isorropodon fossajaponicum,Bacteria,Mollusca,Bivalvia,Venerida,Vesicomyidae,Isorropodon,Isorropodon fossajaponicum
Wolbachia endosymbiont of Psylliodes chrysocephala,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Psylliodes chrysocephala
Spiroplasma endosymbiont of Poecilobothrus nobilitatus,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Poecilobothrus nobilitatus
Candidatus Tisiphia endosymbiont of Nemotelus uliginosus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Nemotelus uliginosus
Helicobacter cholecystus,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter cholecystus
Spiroplasma endosymbiont of Polydrusus formosus,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Polydrusus formosus
Fructilactobacillus cliffordii,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus,Fructilactobacillus cliffordii
Spiroplasma endosymbiont of 'Nebria riversi',Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of 'Nebria riversi'
Candidatus Desulfovibrio trichonymphae,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Candidatus Desulfovibrio trichonymphae
Wolbachia endosymbiont of Drosophila santomea,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Drosophila santomea
Wolbachia endosymbiont of Drosophila yakuba,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Drosophila yakuba
Candidatus Bodocaedibacter vickermanii,Bacteria,Pseudomonadota,Alphaproteobacteria,Holosporales,Candidatus,Candidatus,Candidatus Bodocaedibacter vickermanii
Wolbachia endosymbiont of Cantharis cryptica,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Cantharis cryptica
Candidatus Planktophila lacus,Bacteria,Actinomycetota,Actinomycetes,Candidatus,Candidatus,Candidatus,Candidatus Planktophila lacus
Spiroplasma endosymbiont of Notiophilus biguttatus,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Notiophilus biguttatus
Spiroplasma endosymbiont of Monopis laevigella,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Monopis laevigella
Wolbachia endosymbiont of Chrysomya megacephala,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Chrysomya megacephala
Spiroplasma endosymbiont of Panzeria rudis,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Panzeria rudis
Wolbachia endosymbiont of Anurida maritima,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Anurida maritima
Cardinium endosymbiont of Tipula unca,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus,Cardinium endosymbiont of Tipula unca
Candidatus Pelagibacter giovannonii,Bacteria,Pseudomonadota,Alphaproteobacteria,Candidatus,Candidatus,Candidatus,Candidatus Pelagibacter giovannonii
Candidatus Planktophila vernalis,Bacteria,Actinomycetota,Actinomycetes,Candidatus,Candidatus,Candidatus,Candidatus Planktophila vernalis
Candidatus Planktophila dulcis,Bacteria,Actinomycetota,Actinomycetes,Candidatus,Candidatus,Candidatus,Candidatus Planktophila dulcis
Candidatus Nitrosomarinus catalina,Bacteria,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus,Candidatus Nitrosomarinus catalina
Candidatus Tisiphia endosymbiont of Empis tessellata,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Empis tessellata
Wolbachia endosymbiont of Corcyra cephalonica,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Corcyra cephalonica
Candidatus Planktophila sulfonica,Bacteria,Actinomycetota,Actinomycetes,Candidatus,Candidatus,Candidatus,Candidatus Planktophila sulfonica
Rickettsia asiatica,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia asiatica
Spiroplasma endosymbiont of Dromius quadrimaculatus,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Dromius quadrimaculatus
Wolbachia endosymbiont of Spodoptera picta,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Spodoptera picta
Spiroplasma endosymbiont of Lonchoptera lutea,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Lonchoptera lutea
Candidatus Planktophila limnetica,Bacteria,Actinomycetota,Actinomycetes,Candidatus,Candidatus,Candidatus,Candidatus Planktophila limnetica
Candidatus Planktophila versatilis,Bacteria,Actinomycetota,Actinomycetes,Candidatus,Candidatus,Candidatus,Candidatus Planktophila versatilis
Wolbachia endosymbiont of Ostrinia furnacalis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Ostrinia furnacalis
Wolbachia endosymbiont of Ostrinia scapulalis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Ostrinia scapulalis
Spiroplasma endosymbiont of Tipula paludosa,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Tipula paludosa
Spiroplasma endosymbiont of Asaphidion curtum,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Asaphidion curtum
Candidatus Tisiphia endosymbiont of Neophilaenus lineatus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus,Candidatus Tisiphia endosymbiont of Neophilaenus lineatus
Candidatus Mesenet endosymbiont of Phosphuga atrata,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Candidatus,Candidatus Mesenet endosymbiont of Phosphuga atrata
Wolbachia endosymbiont of Drosophila pseudotakahashii,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Drosophila pseudotakahashii
Spiroplasma endosymbiont of Lasioglossum malachurum,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Lasioglossum malachurum
Wolbachia endosymbiont of Drosophila innubila,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Drosophila innubila
Wolbachia endosymbiont of Zaprionus tsacasi,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Zaprionus tsacasi
Wolbachia endosymbiont of Wiebesia pumilae,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Wiebesia pumilae
Wolbachia endosymbiont of Drosophila mauritiana,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Drosophila mauritiana
Wolbachia endosymbiont of Liriomyza huidobrensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Liriomyza huidobrensis
Wolbachia endosymbiont of Aedes aegypti,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Aedes aegypti
Wolbachia endosymbiont of Cimex lectularius,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Cimex lectularius
Spiroplasma endosymbiont of Agriotes lineatus,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Agriotes lineatus
Spiroplasma endosymbiont of Cantharis rufa,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Cantharis rufa
Wolbachia endosymbiont of Encarsia formosa,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Encarsia formosa
Candidatus Nanopelagicus limnes,Bacteria,Actinomycetota,Actinomycetes,Candidatus,Candidatus,Candidatus,Candidatus Nanopelagicus limnes
Spiroplasma endosymbiont of Cantharis nigra,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Cantharis nigra
Neoehrlichia mikurensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Candidatus,Neoehrlichia mikurensis
Wolbachia endosymbiont of Anopheles demeilloni,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Anopheles demeilloni
Spiroplasma endosymbiont of Dioctria linearis,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Dioctria linearis
Candidatus Profftia tarda,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus,Candidatus Profftia tarda
Candidatus Nanopelagicus hibericus,Bacteria,Actinomycetota,Actinomycetes,Candidatus,Candidatus,Candidatus,Candidatus Nanopelagicus hibericus
Spiroplasma endosymbiont of Aspidapion aeneum,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Aspidapion aeneum
Candidatus Profftia lariciata,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus,Candidatus Profftia lariciata
Wolbachia endosymbiont of Ctenocephalides felis wCfeJ,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Ctenocephalides felis wCfeJ
Wolbachia endosymbiont of Aedes albopictus,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Aedes albopictus
Candidatus Ruthia endofausta,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_o,Candidatus,Candidatus,Candidatus Ruthia endofausta
Candidatus Vallotia cooleyia,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Candidatus,Candidatus Vallotia cooleyia
Candidatus Nanopelagicus abundans,Bacteria,Actinomycetota,Actinomycetes,Candidatus,Candidatus,Candidatus,Candidatus Nanopelagicus abundans
Candidatus Fonsibacter ubiquis,Bacteria,Pseudomonadota,Alphaproteobacteria,Candidatus,Candidatus_f,Candidatus,Candidatus Fonsibacter ubiquis
Spiroplasma endosymbiont of Nomada rufipes,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Nomada rufipes
Candidatus Curculioniphilus buchneri endosymbiont of Curculio glandium,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Candidatus,Candidatus Curculioniphilus buchneri endosymbiont of Curculio glandium
Cardinium endosymbiont of Oedothorax gibbosus,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus,Cardinium endosymbiont of Oedothorax gibbosus
Candidatus Bandiella woodruffii,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Candidatus,Candidatus,Candidatus Bandiella woodruffii
Candidatus Absconditicoccus praedator,Bacteria,Candidatus,Candidatus_c,Candidatus,Candidatus,Candidatus,Candidatus Absconditicoccus praedator
Candidatus Vallotia tarda,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Candidatus,Candidatus Vallotia tarda
Spiroplasma endosymbiont of Polydrusus cervinus,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Polydrusus cervinus
Spiroplasma endosymbiont of Nephrotoma flavescens,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Nephrotoma flavescens
Cardinium endosymbiont of Sogatella furcifera,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus,Cardinium endosymbiont of Sogatella furcifera
Spiroplasma endosymbiont of Eupeodes luniger,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Eupeodes luniger
Cardinium endosymbiont of Philonthus spinipes,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Amoebophilaceae,Candidatus,Cardinium endosymbiont of Philonthus spinipes
Candidatus Erwinia haradaeae,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,Candidatus Erwinia haradaeae
Wolbachia endosymbiont of Brugia pahangi,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Brugia pahangi
Spiroplasma endosymbiont of Atherix ibis,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Atherix ibis
Candidatus Vallotia lariciata,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Candidatus,Candidatus Vallotia lariciata
Mycoplasma seminis,Bacteria,Mycoplasmatota,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma seminis
Spiroplasma endosymbiont of Panorpa germanica,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Panorpa germanica
Spiroplasma endosymbiont of Dilophus febrilis,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Dilophus febrilis
Candidatus Vesicomyosocius okutanii,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria_o,Candidatus,Candidatus,Candidatus Vesicomyosocius okutanii
Coxiella endosymbiont of Amblyomma nuttalli,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella endosymbiont of Amblyomma nuttalli
Spiroplasma endosymbiont of Labia minor,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Labia minor
Spiroplasma endosymbiont of Diplazon laetatorius,Bacteria,Mycoplasmatota,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma endosymbiont of Diplazon laetatorius
Candidatus Nanohalobium constans,Bacteria,Candidatus,Candidatus,Candidatus,Candidatus,Candidatus,Candidatus Nanohalobium constans
